ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AL;17311;Fabricação de embalagens de papel;controle;FALSE;4;3918,8100000000;FALSE;9,79702500000000e+02
2019;AL;17320;Fabricação de embalagens de cartolina e papel-cartão;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;17338;Fabricação de chapas e de embalagens de papelão ondulado;controle;FALSE;34;44798,5400000000;FALSE;1,31760411764706e+03
2019;AL;17419;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;controle;FALSE;14;18004,0300000000;FALSE;1,28600214285714e+03
2019;AL;17427;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;controle;FALSE;69;133546,7100000000;FALSE;1,93545956521739e+03
2019;AL;17494;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;controle;FALSE;1;1000,0000000000;FALSE;1,00000000000000e+03
2019;AL;22111;Fabricação de pneumáticos e de câmaras-de-ar;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;22129;Reforma de pneumáticos usados;controle;FALSE;69;96586,7400000000;FALSE;1,39980782608696e+03
2019;AL;22196;Fabricação de artefatos de borracha não especificados anteriormente;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;22218;Fabricação de laminados planos e tubulares de material plástico;controle;FALSE;65;130100,4600000000;FALSE;2,00154553846154e+03
2019;AL;22226;Fabricação de embalagens de material plástico;controle;FALSE;590;944157,3700000005;FALSE;1,60026672881356e+03
2019;AL;22234;Fabricação de tubos e acessórios de material plástico para uso na construção;controle;FALSE;696;1413728,5199999993;FALSE;2,03121913793103e+03
2019;AL;23117;Fabricação de vidro plano e de segurança;controle;FALSE;50;42035,3700000000;FALSE;8,40707400000000e+02
2019;AL;23192;Fabricação de artigos de vidro;controle;FALSE;114;168635,7600000000;FALSE;1,47926105263158e+03
2019;AL;23206;Fabricação de cimento;controle;FALSE;205;647720,2000000002;FALSE;3,15961073170732e+03
2019;AL;23303;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;controle;FALSE;690;916476,6499999998;FALSE;1,32822702898551e+03
2019;AL;23427;Fabricação de produtos cerâmicos não refratários para uso estrutural na construção;controle;FALSE;768;1647211,3599999992;FALSE;2,14480645833333e+03
